epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,27567.2,1.33236,1.2478,0.00107,0.60348,0.49746,0.53677,0.43844,1.26972,1.22772,0.00125,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,30636.5,1.33131,1.24588,0.00107,0.60212,0.49945,0.53805,0.43959,1.26931,1.2271,0.00125,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33705.1,1.32946,1.2309,0.00107,0.60821,0.49345,0.53865,0.44016,1.2691,1.2262,0.00125,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3184.9,1.28449,1.13877,0.001,0.60867,0.49212,0.53897,0.43979,1.26896,1.22617,0.00125,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6370.13,1.29489,1.14934,0.00102,0.60497,0.49567,0.53918,0.44015,1.26912,1.22601,0.00125,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9552.8,1.2944,1.15523,0.00101,0.60193,0.49847,0.53938,0.4404,1.26922,1.22645,0.00125,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12733.7,1.29354,1.15378,0.00102,0.59702,0.50345,0.53921,0.44029,1.26809,1.22689,0.00125,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15914.5,1.29219,1.16184,0.00102,0.60172,0.49849,0.53982,0.44055,1.26847,1.2272,0.00125,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19095.6,1.30227,1.16243,0.00102,0.60731,0.49716,0.54014,0.4407,1.26897,1.22613,0.00125,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,22276.7,1.29793,1.16543,0.00102,0.611,0.49654,0.54074,0.44121,1.26908,1.22564,0.00125,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3070.25,1.25413,1.07814,0.00096,0.60855,0.49613,0.54029,0.4409,1.26984,1.22589,0.00125,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6137.93,1.26559,1.08604,0.00098,0.60282,0.49976,0.54001,0.44023,1.26888,1.22812,0.00125,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9210.1,1.29317,1.15538,0.00105,0.60187,0.50051,0.54042,0.43995,1.26878,1.22755,0.00125,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3069.97,1.2418,1.05675,0.00095,0.58592,0.50624,0.54017,0.44025,1.26926,1.2285,0.00125,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6138.93,1.25502,1.06683,0.00097,0.5894,0.50688,0.53991,0.44003,1.26931,1.22917,0.00125,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9203.86,1.25869,1.0794,0.00097,0.5859,0.50798,0.54043,0.43984,1.26935,1.23021,0.00125,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12266.1,1.25848,1.07848,0.00097,0.58649,0.50698,0.54134,0.44025,1.26918,1.23219,0.00125,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15329.1,1.25866,1.08544,0.00097,0.58261,0.50679,0.54095,0.43982,1.27018,1.23262,0.00126,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18390.5,1.26986,1.09407,0.00097,0.58699,0.50305,0.54034,0.43919,1.26992,1.23381,0.00126,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,21450.6,1.26733,1.09956,0.00098,0.59045,0.50146,0.54049,0.43928,1.26995,1.23386,0.00126,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24512.3,1.26316,1.09414,0.00097,0.59607,0.49847,0.54085,0.43959,1.27041,1.23436,0.00126,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27573.2,1.26321,1.09402,0.00098,0.5907,0.50001,0.54076,0.43932,1.27057,1.23446,0.00126,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
